672	10	7	2	2	5	3	5	6	4	2	1	3	6	6	3	3	3	1	2	4	4	0	3	1	2	2	0	3
716	6	3	2	0	4	3	5	1	2	2	2	1	2	2	3	4	1	0	2	3	2	2	1	1	1	2	1	4
720	3	1	3	2	3	2	3	3	3	2	2	2	3	2	3	3	3	3	3	4	5	4	4	3	3	3	5	5
801	3	1	2	2	6	4	3	3	3	2	2	2	4	4	3	3	2	2	3	5	6	4	1	2	3	2	2	4
829	3	3	2	1	2	3	3	2	2	1	3	0	1	1	1	1	1	1	1	2	2	1	0	0	0	1	1	2
848	9	3	4	4	12	6	3	5	2	7	7	6	10	10	4	8	10	13	8	7	8	1	6	6	3	3	4	1
865	3	8	3	4	9	5	5	4	5	10	8	9	7	8	9	3	3	3	6	6	3	6	4	0	7	5	0	4
922	7	5	5	2	3	3	5	5	5	5	3	4	4	5	7	5	3	3	5	3	7	5	2	1	2	4	6	2
949	2	2	2	2	3	3	2	1	1	1	2	2	2	3	3	1	1	2	3	2	3	2	2	2	1	2	2	2
962	2	3	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1
964	2	2	2	2	3	4	3	3	1	1	1	3	4	3	1	0	2	1	3	5	4	0	3	3	2	2	5	3
